Index,Question Type,Prompt,Question Description,Model Name,Color,Chart Title,Image Path,Ground Truth,Prediction,Answer Time
img1_run1,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Burlywood,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img10_Burlywood.png,$50.24,$50.24,2.57
img1_run2,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Burlywood,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img10_Burlywood.png,$50.24,$50.24,2.34
img1_run3,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Burlywood,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img10_Burlywood.png,$50.24,$50.24,2.39
img1_run4,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Burlywood,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img10_Burlywood.png,$50.24,$50.24,2.96
img1_run5,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Burlywood,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img10_Burlywood.png,$50.24,$50.24,2.37
img2_run1,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Red,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img1_Red.png,$50.24,$50.24,2.25
img2_run2,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Red,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img1_Red.png,$50.24,$50.24,2.57
img2_run3,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Red,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img1_Red.png,$50.24,$50.24,2.7
img2_run4,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Red,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img1_Red.png,$50.24,$50.24,2.45
img2_run5,Retrieve Value,"What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit. Choose the accurate answer. No explanation.","What was the price of a barrel of oil in February 2015? Options: $57.36, $47.82, $50.24, $39.72, Omit.",Gemini 2.5 Flash,Red,Oil prices spike between April and June,/Users/ramihuunguyen/Documents/PhD/Visualization_Literacy/Visualization_Literacy/rami_retrieve_value/retrieve_value/Q1_img1_Red.png,$50.24,$50.24,2.28
